target	well	n
adrenoceptor	C10	1293
adrenoceptor	D15	1282
adrenoceptor	F18	1276
AMPA	E11	1281
AMPA	G12	1272
AMPA	K20	1271
Ca2	P16	1155
Ca2	K20	1010
Cdc25	N20	692
CDK	B12	1269
CDK	M14	1260
CDK	A15	1124
cellcycle	M11	1313
cellcycle	H18	1119
cMyc	I13	1275
DNA_intercalation	F17	1297
DNA_intercalation	L14	1270
DNA_intercalation	H21	1266
DNAMetabolism	D20	1286
DNAMetabolism	P14	1205
DNAMetabolism	H22	427
dopaminereceptor	B20	1293
dopaminereceptor	B21	1289
dopaminereceptor	B11	1284
dopaminereceptor	C18	1267
EGFR	P13	1297
EGFR	F19	1262
EGFR	F15	1256
EGFR	B15	1255
eNOS	I15	1247
MEK	K23	1266
MEK	M23	1263
rac1	I11	900
ROCK	E23	4930
TopoII	C22	1269
TopoII	O10	1179
TopoII	K10	1107
Tubulin	I23	1276
Tubulin	N22	1075
Tubulin	G23	909
